Account	Account name	Campaign#Original	Campaign	Labels	Campaign Type	Networks	Budget	Budget type	EU political ads	Standard conversion goals	Customer acquisition	Languages	Bid Strategy Type	Bid Strategy Name	Enhanced CPC	Start Date	End Date	Broad match keywords	Ad Schedule	Ad rotation	Content exclusions	Targeting method	Exclusion method	Audience targeting	Flexible Reach	AI Max	Text customization	Final URL expansion	Ad Group#Original	Ad Group	Max CPC	Max CPM	Target CPA	Max CPV	Target CPV	Percent CPC	Target CPM	Target ROAS	Target CPC	Desktop Bid Modifier	Mobile Bid Modifier	Tablet Bid Modifier	TV Screen Bid Modifier	Display Network Custom Bid Type	Optimized targeting	Strict age and gender targeting	Search term matching	Ad Group Type	Channels	Audience name	Age demographic	Gender demographic	Income demographic	Parental status demographic	Remarketing audience segments	Interest categories	Life events	Custom audience segments	Detailed demographics	Remarketing audience exclusions	Tracking template	Final URL suffix	Custom parameters	ID#Original	ID	Location#Original	Location	Reach	Location groups#Original	Location groups	Radius#Original	Radius	Unit#Original	Unit	Bid Modifier	Criterion Type	Account keyword type	Keyword#Original	Keyword	Criterion Type#Original	First page bid	Top of page bid	First position bid	Quality score	Landing page experience	Expected CTR	Ad relevance	Final URL	Final mobile URL	Image#Original	Image	Image Size	Upgraded extension	Link source	Business logo#Original	Business logo	Ad type	Headline 1#Original	Headline 1	Headline 1 position	Headline 2#Original	Headline 2	Headline 2 position	Headline 3#Original	Headline 3	Headline 3 position	Headline 4	Headline 4 position	Headline 5	Headline 5 position	Headline 6	Headline 6 position	Headline 7	Headline 7 position	Headline 8	Headline 8 position	Headline 9	Headline 9 position	Headline 10	Headline 10 position	Headline 11	Headline 11 position	Headline 12	Headline 12 position	Headline 13	Headline 13 position	Headline 14	Headline 14 position	Headline 15	Headline 15 position	Description 1#Original	Description 1	Description 1 position	Description 2#Original	Description 2	Description 2 position	Description 3	Description 3 position	Description 4	Description 4 position	Path 1#Original	Path 1	Path 2#Original	Path 2	Final URL#Original	Shared set name#Original	Shared set name	Shared set type	Keyword count	Link Text#Original	Link Text	Description Line 1#Original	Description Line 1	Description Line 2#Original	Description Line 2	Source	Header#Original	Header	Snippet Values#Original	Snippet Values	Callout text#Original	Callout text	Phone Number#Original	Phone Number	Country of Phone#Original	Country of Phone	Conversion Action	Campaign Status	Ad Group Status	Status	Approval Status	Ad strength	Comment	Clicks	Cost	Impressions	CTR	Invalid Clicks	Invalid Click Rate	Avg CPC	Avg CPM	Conversions	All conv	Search top IS	Search abs top IS	Display Clicks	Display Cost	Display Impressions	Display CTR	Display Avg CPC	Display Avg CPM	Display Conversions	Display All conv
876-879-7070	Local Search		TV Antennas Joondalup																											Antenna Repairs																																																										https://tvantennasjoondalup.com.au									Responsive search ad	TV Gone Cactus? Dave	TV Gone Cactus? Dave	 -	Lost All Channels? Dave	Lost All Channels? Dave	 -	No Signal Joondalup? Dave	No Signal Joondalup? Dave	 -	Joondalup fr$149 - Same Day	 -	Antenna fr$149 Joondalup	 -	Dave - Your Joondalup Guy	 -	Call Dave - Joondalup fr$149	 -	Dave - Antenna Guy Joondalup	 -	24hr Web Quote - Joondalup	 -	Web Quote Now - Joondalup	 -	Quick Fix - Call Dave fr$149	 -	Joondalup Repair - Same Day	 -	Real WA Local Bloke - Call Now	 -	10yr Warranty - Joondalup	 -	Pensioner Friendly - Joondalup	 -	Dave - {KeyWord:Joondalup Antenna Repair} - Same Day Fix - No Call-Out Fee. Chat now.	Dave - {KeyWord:Joondalup Antenna Repair} - Same Day Fix - No Call-Out Fee. Chat now.	 -	TV pixelating in Joondalup? Dave fixes it today. No call-out fee. 10yr warranty.	TV pixelating in Joondalup? Dave fixes it today. No call-out fee. 10yr warranty.	 -	Can't watch the footy? Dave fixes Joondalup antennas same day. Call him. 10yr warranty.	 -	Family biz since 2003 | Pension discounts | Fully insured | Call Dave. 10yr warranty.	 -	Joondalup	Joondalup	Repairs-fr$149	Repairs-fr$149	https://tvantennasjoondalup.com.au																							Enabled	Enabled	Enabled	Approved	Good		13	69.95	125	10.40%			5.38	559.60	1.00	1.00										
876-879-7070	Local Search		TV Antennas Joondalup																											Antenna Repairs																																																										https://tvantennasjoondalup.com.au									Responsive search ad	{KeyWord:Antenna Repair Man - Dave}	{KeyWord:Antenna Repair Man - Dave}	 -	Antenna Repair Joondalup	Antenna Repair Joondalup	 -	Joondalup Antenna Repair	Joondalup Antenna Repair	 -	Fix TV Antenna Joondalup	 -	TV Reception Fix Joondalup	 -	Joondalup TV Signal Fixed	 -	Broken Antenna Joondalup?	 -	Dave - Call Today	 -	Same Day Service Perth	 -	Family Business Est 2003	 -	5-Star Rated Perth Tradie	 -	Free Quote - No Obligation	 -	Licensed & Fully Insured	 -	No Call Out Fee	 -	Joondalup Antenna Experts	 -	TV antenna repair in Joondalup. Family business since 2003. Same-day available.	TV antenna repair in Joondalup. Family business since 2003. Same-day available.	 -	Broken antenna Joondalup? Dave & team fix it fast. Free quote no obligation.	Broken antenna Joondalup? Dave & team fix it fast. Free quote no obligation.	 -	Family run since 2003. Professional antenna repairs Joondalup. Honest pricing.	 -	Your local Joondalup antenna repair tradies. Fast reliable insured. Call today.	 -	Antenna	Antenna	TV-Man	TV-Man	https://tvantennasjoondalup.com.au																							Enabled	Enabled	Enabled	Approved	Excellent		1	3.09	35	2.86%			3.09	88.29	0.00	0.00										
876-879-7070	Local Search		TV Antennas Joondalup																											Antenna Repairs																																																										https://tvantennasjoondalup.com.au									Responsive search ad	No Signal Joondalup? Dave	No Signal Joondalup? Dave	 -	Antenna Cooked? Dave	Antenna Cooked? Dave	 -	TV Antenna Fix Joondalup Today	TV Antenna Fix Joondalup Today	 -	fr$149 Joondalup Antennas	 -	Joondalup fr$149 - Same Day	 -	Dave - Your Joondalup Guy	 -	Call Dave - No Dramas fr$149	 -	Call Dave - Joondalup fr$149	 -	Fast SMS Quotes - Joondalup	 -	24/7 Web Quotes - Click fr$149	 -	Quick Fix - Call Dave fr$149	 -	Sorted Today In Joondalup	 -	Upfront Pricing - Dave fr$149	 -	Real WA Local Bloke - Call Now	 -	No Shonks - Joondalup fr$149	 -	Joondalup antenna playing up? Dave repairs same day. Honest upfront pricing. Chat now.	Joondalup antenna playing up? Dave repairs same day. Honest upfront pricing. Chat now.	 -	Can't watch the footy? Dave fixes Joondalup antennas same day. Call him. 10yr warranty.	Can't watch the footy? Dave fixes Joondalup antennas same day. Call him. 10yr warranty.	 -	TV pixelating in Joondalup? Dave fixes it today. No call-out fee. 10yr warranty.	 -	TV gone cactus in Joondalup? Dave fixes it same day. fr$149. No call-out fee.	 -	Joondalup	Joondalup	Repairs-fr$149	Repairs-fr$149	https://tvantennasjoondalup.com.au																							Enabled	Enabled	Enabled	Approved	Good		1	2.57	4	25.00%			2.57	642.29	1.00	1.00										
876-879-7070	Local Search		TV Antennas Joondalup																											TV Mounting																																																										https://tvantennasjoondalup.com.au									Responsive search ad	Joondalup TV Mounting - fr$199	Joondalup TV Mounting - fr$199	 -	Big Screen Mounted Joondalup	Big Screen Mounted Joondalup	 -	Joondalup TV Hanging Service	Joondalup TV Hanging Service	 -	fr$199 - Mounted Today	 -	fr$199 TV Mount Joondalup	 -	Call Dave - No Mess Joondalup	 -	Dave Mounts TVs Joondalup	 -	Direct To Dave - Joondalup	 -	24hr Web Quote - Joondalup	 -	Fast Web Quote - Click fr$199	 -	Fixed Today In Joondalup	 -	Same Day Joondalup Service	 -	Family Business Est 2003	 -	No Call-Out Fee - Joondalup	 -	Dave Does Big Screens fr$199	 -	Dave - {KeyWord:Joondalup TV Wall Mount} - Cables Hidden - No Call-Out Fee. Chat now.	Dave - {KeyWord:Joondalup TV Wall Mount} - Cables Hidden - No Call-Out Fee. Chat now.	 -	TV mounted today in Joondalup by Dave. Safe, secure, cables tucked away neat.	TV mounted today in Joondalup by Dave. Safe, secure, cables tucked away neat.	 -	Dave does Joondalup TV mounts. fr$199 brackets supplied. Hidden cables. Done.	 -	Family biz since 2003 | Pension discounts | Fully insured | Call Dave. 10yr warranty.	 -	Joondalup	Joondalup	TV-Mount-fr$199	TV-Mount-fr$199	https://tvantennasjoondalup.com.au																							Enabled	Enabled	Enabled	Approved	Good		7	50.70	67	10.45%			7.24	756.78	0.58	0.58										
876-879-7070	Local Search		TV Antennas Joondalup																											TV Mounting																																																										https://tvantennasjoondalup.com.au									Responsive search ad	Joondalup TV Mount Expert	Joondalup TV Mount Expert	 -	Need Your TV Mounted? Dave	Need Your TV Mounted? Dave	 -	Mount Your TV - Dave fr$199	Mount Your TV - Dave fr$199	 -	fr$199 TV Mount Joondalup	 -	TV Wall Mount fr$199 Joondalup	 -	Dave - Joondalup TV Guy	 -	Direct To Dave - Joondalup	 -	Dave - TV Mount Joondalup	 -	Fast Web Quote - Click fr$199	 -	24hr Web Quote - Joondalup	 -	Installed Today - Joondalup	 -	Same Day - Call Dave fr$199	 -	No Shonks - Joondalup fr$199	 -	No Call-Out Fee - Joondalup	 -	Cables Hidden Neatly Joondalup	 -	Dave hangs big screens in Joondalup. fr$199 all-in. No mess, no dramas. 10yr warranty.	Dave hangs big screens in Joondalup. fr$199 all-in. No mess, no dramas. 10yr warranty.	 -	TV mounted today in Joondalup by Dave. Safe, secure, cables tucked away neat.	TV mounted today in Joondalup by Dave. Safe, secure, cables tucked away neat.	 -	Family biz since 2003 | Pension discounts | Fully insured | Call Dave. 10yr warranty.	 -	Dave mounts TVs in Joondalup. fr$199 bracket supplied. Cables hidden. Same day.	 -	Joondalup	Joondalup	TV-Mount-fr$199	TV-Mount-fr$199	https://tvantennasjoondalup.com.au																							Enabled	Enabled	Enabled	Approved	Good		2	9.01	19	10.53%			4.51	474.21	0.00	0.00										
876-879-7070	Local Search		TV Antennas Joondalup																											TV Mounting																																																										https://tvantennasjoondalup.com.au									Responsive search ad	{KeyWord:TV Wall Mount Installer}	{KeyWord:TV Wall Mount Installer}	 -	TV Wall Mounting Joondalup	TV Wall Mounting Joondalup	 -	Joondalup TV Mounting	Joondalup TV Mounting	 -	Mount TV On Wall Joondalup	 -	TV Bracket Install Joondalup	 -	Joondalup TV Wall Mount	 -	TV Mounting fr$199	 -	Dave - Call Today	 -	Same Day Service Perth	 -	Family Business Est 2003	 -	5-Star Rated Perth Tradie	 -	Free Quote - No Obligation	 -	Licensed & Fully Insured	 -	No Call Out Fee	 -	Joondalup TV Mount Experts	 -	TV wall mounting Joondalup. Brackets supplied cables hidden. Same-day available.	TV wall mounting Joondalup. Brackets supplied cables hidden. Same-day available.	 -	Need your TV mounted Joondalup? Dave & team. Any size any wall. Free quote.	Need your TV mounted Joondalup? Dave & team. Any size any wall. Free quote.	 -	Family run since 2003. Professional TV mounting Joondalup. Honest pricing.	 -	Your local Joondalup TV mounting tradies. Fast reliable insured. Call today.	 -	Antenna	Antenna	TV-Man	TV-Man	https://tvantennasjoondalup.com.au																							Enabled	Enabled	Enabled	Approved	Excellent		0	0.00	14	0.00%			0.00	0.00	0.00	0.00										
876-879-7070	Local Search		TV Antennas Joondalup																											Antenna Installation																																																										https://tvantennasjoondalup.com.au									Responsive search ad	Joondalup Antenna Guy - Dave	Joondalup Antenna Guy - Dave	 -	Joondalup Antenna Install	Joondalup Antenna Install	 -	{KeyWord:Antenna Installer}	{KeyWord:Antenna Installer}	 -	Joondalup TV Guy - fr$149	 -	TV Antennas fr$149 - Joondalup	 -	Dave - Joondalup TV Guy	 -	Dave - Local TV Guy Joondalup	 -	Dave - Antenna Guy Joondalup	 -	Fast Online Quote - Joondalup	 -	SMS Quote - Click Now fr$149	 -	Installed Today - Joondalup	 -	Get It Sorted Today - Call Now	 -	Joondalup Family Business	 -	Pensioner Friendly - Joondalup	 -	Local Family - Est 2003 fr$149	 -	Dave's the Joondalup antenna bloke. fr$149 same day. No call-out fee. Fast web quote.	Dave's the Joondalup antenna bloke. fr$149 same day. No call-out fee. Fast web quote.	 -	Honest upfront pricing from Dave. Joondalup antennas sorted same day. Fast web quote.	Honest upfront pricing from Dave. Joondalup antennas sorted same day. Fast web quote.	 -	Dave - Joondalup TV antennas. Pensioner friendly. Fully insured. Chat now. Web quote.	 -	Dave - Joondalup antenna install fr$149. Same day, no call-out fee. SMS for a quote.	 -	Joondalup	Joondalup	Antennas-fr$149	Antennas-fr$149	https://tvantennasjoondalup.com.au																							Enabled	Enabled	Enabled	Approved	Excellent		2	11.79	14	14.29%			5.90	842.14	0.00	0.00										
876-879-7070	Local Search		TV Antennas Joondalup																											Antenna Installation																																																										https://tvantennasjoondalup.com.au									Responsive search ad	Joondalup Antenna Guy - Dave	Joondalup Antenna Guy - Dave	 -	Antenna Install Joondalup	Antenna Install Joondalup	 -	Joondalup Antenna Install	Joondalup Antenna Install	 -	Joondalup fr$149 - Same Day	 -	TV Antennas fr$149 - Joondalup	 -	Dave - Your Joondalup Guy	 -	Dave - Joondalup TV Guy	 -	Call Dave - Joondalup fr$149	 -	24/7 Web Quotes - Click fr$149	 -	Fast Online Quote - Joondalup	 -	Same Day Joondalup Service	 -	TV On The Blink? Dave	 -	No Call-Out Fee - Joondalup	 -	Joondalup Family Business	 -	Upfront Pricing - Dave fr$149	 -	Dave's the Joondalup antenna bloke. fr$149 same day. No call-out fee. Fast web quote.	Dave's the Joondalup antenna bloke. fr$149 same day. No call-out fee. Fast web quote.	 -	Dave - Joondalup antenna install fr$149. Same day, no call-out fee. SMS for a quote.	Dave - Joondalup antenna install fr$149. Same day, no call-out fee. SMS for a quote.	 -	Dave - Joondalup TV antennas. Pensioner friendly. Fully insured. Chat now. Web quote.	 -	Honest upfront pricing from Dave. Joondalup antennas sorted same day. Fast web quote.	 -	Joondalup	Joondalup	Antennas-fr$149	Antennas-fr$149	https://tvantennasjoondalup.com.au																							Enabled	Enabled	Enabled	Approved	Good		42	235.95	222	18.92%			5.62	1062.85	3.00	3.00										
876-879-7070	Local Search		TV Antennas Joondalup																											Antenna Installation																																																										https://tvantennasjoondalup.com.au									Responsive search ad	Joondalup Antenna Install	Joondalup Antenna Install	 -	Joondalup Antenna Guy - Dave	Joondalup Antenna Guy - Dave	 -	Antennas Installed Joondalup	Antennas Installed Joondalup	 -	fr$149 Joondalup Antennas	 -	Antenna fr$149 Joondalup	 -	Joondalup Antenna Guy Dave	 -	Dave - Same Day Joondalup	 -	Dave - Local TV Guy Joondalup	 -	Web Quote Now - Joondalup	 -	24hr Web Quote - Joondalup	 -	TV On The Blink? Dave	 -	Get It Sorted Today - Call Now	 -	No Worries Guarantee Joondalup	 -	10yr Warranty - Joondalup	 -	Upfront Pricing - Dave fr$149	 -	Dave - {KeyWord:Joondalup TV Antenna Install} - No Call-Out Fee - Same Day. Chat now.	Dave - {KeyWord:Joondalup TV Antenna Install} - No Call-Out Fee - Same Day. Chat now.	 -	Dave - Joondalup TV antennas. Pensioner friendly. Fully insured. Chat now. Web quote.	Dave - Joondalup TV antennas. Pensioner friendly. Fully insured. Chat now. Web quote.	 -	Dave's been fixing Joondalup TVs for 20yrs. Upfront pricing. 10yr warranty. Chat now.	 -	Dave - Joondalup antenna install fr$149. Same day, no call-out fee. SMS for a quote.	 -	Joondalup	Joondalup	Antennas-fr$149	Antennas-fr$149	https://tvantennasjoondalup.com.au																							Enabled	Enabled	Enabled	Approved	Good		15	90.81	123	12.20%			6.05	738.28	0.00	0.00										
876-879-7070	Local Search		TV Antennas Joondalup																											TV Points																																																										https://tvantennasjoondalup.com.au									Responsive search ad	Joondalup Extra TV Outlets	Joondalup Extra TV Outlets	 -	TV In Every Room - Joondalup	TV In Every Room - Joondalup	 -	New TV Points Joondalup fr$149	New TV Points Joondalup fr$149	 -	Antenna fr$149 Joondalup	 -	Joondalup Antenna Guy fr$149	 -	Call Dave - Local Guy fr$149	 -	Ask For Dave - Joondalup	 -	Dave - Antenna Guy Joondalup	 -	Get A Quote In 2 Mins - fr$149	 -	24hr Web Quote - Joondalup	 -	Fixed Today In Joondalup	 -	Same Day Joondalup Service	 -	No Call-Out Fee - Joondalup	 -	Upfront Pricing - Dave fr$149	 -	Pension Discounts - Joondalup	 -	Family biz since 2003 | Pension discounts | Fully insured | Call Dave. 10yr warranty.	Family biz since 2003 | Pension discounts | Fully insured | Call Dave. 10yr warranty.	 -	Dave - {KeyWord:Joondalup TV Point Install} - Same Day - No Call-Out Fee. Web quote.	Dave - {KeyWord:Joondalup TV Point Install} - Same Day - No Call-Out Fee. Web quote.	 -	TV in every room. Dave does Joondalup TV points & boosters. Same day. Fast web quote.	 -	Extra TV point in Joondalup? Dave does neat cabling. Upfront pricing. Fast web quote.	 -	Joondalup	Joondalup	TV-Points	TV-Points	https://tvantennasjoondalup.com.au																							Enabled	Enabled	Enabled	Approved	Average		1	10.86	17	5.88%			10.86	638.82	0.00	0.00										
